index,PUNCT,ADJ,NOUN,PROPN,ADP,DET,VERB,AUX,PART,PRON,CCONJ,SCONJ,X,ADV,NUM,SYM,Spearman Corr.,p-value,"Macro, No Outliars"
count,2297,1996,5598,1359,4852,877,2062,1771,316,1127,545,382,8,157,452,30,,,
Layer 0,0.999564839,0.789020452,0.864926023,0.699215966,0.961550356,0.857630979,0.777946383,0.825978351,0.951026856,0.949269132,0.981916817,0.945838838,0,0.782287823,0.940366972,1,0.035294118,0.896753248,0.880467128
Layer 1,1,0.789853138,0.867790748,0.705360444,0.960998762,0.855687606,0.78040201,0.821917808,0.944707741,0.95028102,0.982836495,0.944736842,0.2,0.795698925,0.943742824,1,0.044150122,0.871027875,0.881715312
Layer 2,1,0.833816171,0.900744847,0.758021895,0.979507348,0.879368658,0.88074268,0.887134503,0.952681388,0.95849716,0.986376022,0.944591029,0.363636364,0.8,0.952380952,1,0.126563684,0.64044662,0.908133047
Layer 3,1,0.871528679,0.927838667,0.820944709,0.98116332,0.892877173,0.891719745,0.889410384,0.953895072,0.958131335,0.983516484,0.945551129,0.363636364,0.822695035,0.954853273,1,0.114790318,0.672062359,0.921008929
Layer 4,1,0.892212481,0.940895839,0.856729378,0.983447134,0.896512936,0.901728629,0.898601399,0.955414013,0.96267018,0.989954338,0.952380952,0.4,0.873720137,0.960451977,1,0.13833705,0.609400173,0.933194242
Layer 5,1,0.898795798,0.945251595,0.868143843,0.985022208,0.904788732,0.903731875,0.896931094,0.961661342,0.963060686,0.990875912,0.953642384,0.363636364,0.865051903,0.968609865,1,0.129507025,0.63262991,0.936111946
Layer 6,0.999782372,0.901115619,0.949448202,0.881220487,0.985668626,0.907134768,0.902729181,0.890334023,0.961290323,0.965699208,0.990875912,0.948616601,0.4,0.871080139,0.967379078,1,0.144117647,0.594378288,0.937312467
Layer 7,1,0.905507832,0.952059059,0.882010197,0.985253171,0.910227273,0.907984079,0.896633196,0.963081862,0.966974901,0.99270073,0.955263158,0.4,0.853242321,0.961797753,1,0.132450367,0.624849482,0.938052538
Layer 8,0.999782372,0.903209502,0.950466874,0.885579368,0.987315665,0.914481186,0.902725564,0.891502499,0.959742351,0.966124065,0.991795807,0.947229551,0.4,0.855172414,0.958473625,1,0.144117647,0.594378288,0.936685775
Layer 9,0.999782372,0.901614531,0.949840482,0.88485746,0.984548826,0.911798396,0.905351718,0.893100385,0.969404187,0.965759438,0.989954338,0.947089947,0.4,0.844290657,0.958659218,1,0.132352941,0.625106429,0.936146568
Layer 10,1,0.904178134,0.949004975,0.884288355,0.984647089,0.918577982,0.906286516,0.894487255,0.956661316,0.965699208,0.989935956,0.943346509,0.4,0.837370242,0.958751394,0.983050847,0.241176471,0.368206608,0.935231066
Layer 11,0.999782277,0.897036665,0.94754623,0.884249084,0.983829437,0.916524702,0.903891233,0.895249336,0.962843296,0.959435626,0.990859232,0.945838838,0.4,0.797153025,0.959641256,0.983050847,0.211764706,0.431083247,0.931705731
Layer 12,0.99956465,0.875031686,0.937207454,0.871813285,0.981716765,0.901074053,0.897844424,0.889219774,0.94214876,0.952967033,0.989031079,0.940079893,0,0.729323308,0.94640821,0.983050847,0.167647059,0.534856825,0.91810217
