index,PUNCT,SCONJ,ADJ,ADP,NOUN,AUX,PRON,ADV,VERB,PROPN,CCONJ,NUM,PART,DET,SYM,_,INTJ,X,Spearman Corr.,p-value,"Macro, No Outliars"
count,1953,724,1167,2342,4101,974,1370,1214,1998,1464,692,440,349,22,17,2,2,4,,,
Layer 0,0.998466258,0.844537815,0.686412788,0.931091739,0.8578369,0.944723618,0.933972704,0.758188825,0.797439181,0.918256131,0.991316932,0.950058072,0.703656999,0.636363636,0.941176471,0,0,0,0.460424766,0.054507677,0.870458305
Layer 1,0.998721555,0.845033113,0.711130359,0.925956397,0.871801005,0.94668008,0.943136545,0.779790276,0.812896674,0.926945294,0.991316932,0.952270081,0.636636637,0.648648649,0.941176471,0,0,0,0.481118013,0.043243401,0.872485765
Layer 2,0.999488229,0.900393185,0.755197285,0.939899833,0.894238831,0.948536831,0.946531792,0.814475492,0.851009456,0.933923706,0.991304348,0.949941793,0.838810642,0.666666667,0.941176471,0,0,0,0.448008817,0.062249586,0.904903956
Layer 3,0.999744049,0.955862069,0.828342472,0.962915872,0.931663424,0.95669893,0.958785249,0.87639485,0.906988436,0.939661017,0.99276411,0.958236659,0.966714906,0.685714286,0.941176471,0,0,0,0.425246244,0.078531843,0.941136311
Layer 4,0.999744049,0.964038728,0.851351351,0.967439881,0.948178929,0.966429298,0.962640551,0.885871871,0.934537246,0.942799462,0.99566474,0.95412844,0.976945245,0.756756757,0.941176471,0,0,0,0.479048689,0.044282341,0.949982292
Layer 5,1,0.966896552,0.871794872,0.967796972,0.954539885,0.967906266,0.966569767,0.888795282,0.944834504,0.945809492,0.995670996,0.962285714,0.974063401,0.8,0.941176471,0,0,0,0.489395313,0.039272271,0.954381823
Layer 6,0.999744049,0.970324362,0.880842105,0.967094017,0.956404274,0.972477064,0.969872958,0.895,0.949449449,0.942722372,0.995670996,0.966704937,0.981348637,0.820512821,0.941176471,0,0,0,0.468702065,0.049764473,0.95751194
Layer 7,0.999232147,0.969529086,0.882228789,0.967576792,0.959793434,0.973966309,0.965966691,0.893065998,0.953738435,0.942521008,0.993520518,0.962112514,0.985714286,0.736842105,0.941176471,0,0,0,0.476979364,0.045340163,0.95761277
Layer 8,0.999231754,0.97020097,0.884325231,0.96778323,0.959163592,0.975560081,0.968817984,0.890462307,0.959117131,0.94240485,0.990613718,0.961098398,0.988603989,0.756756757,0.941176471,0,0,0,0.468702065,0.049764473,0.958260249
Layer 9,0.99871959,0.971468337,0.884777124,0.967906482,0.958486858,0.971340839,0.967765302,0.886459209,0.955544456,0.937837838,0.990627253,0.959908362,0.988636364,0.85,0.941176471,0,0,0,0.454216791,0.058282389,0.956882924
Layer 10,0.998463115,0.970034843,0.879396985,0.966808511,0.955669851,0.975560081,0.966714906,0.880942364,0.957957958,0.930612245,0.993501805,0.957324106,0.990042674,0.820512821,0.941176471,0,0,0,0.47077139,0.048629023,0.95561765
Layer 11,0.998463115,0.968553459,0.875,0.964551051,0.953010279,0.973550356,0.962802456,0.875529213,0.95667418,0.929443691,0.98989899,0.953596288,0.990042674,0.756756757,0.941176471,0,0,0,0.46663274,0.050919855,0.95316275
Layer 12,0.998463115,0.965710287,0.849749583,0.960218901,0.94107683,0.971573604,0.937272064,0.835497835,0.951661631,0.915695682,0.984057971,0.947491249,0.984441301,0.214285714,0.909090909,0,0,0,0.489395313,0.039272271,0.941762312
